"","APIACEAE","ASTERX","BETULACEAE","BOTRYCHIUM","BRASSICACEAE","CAMPANULACEA","CANNABACEAE","CAPRIFOLIA","CARYOPHYLL","CHENOAMX","CORNUS","CUPRESSA","CYPERACE","ELAEAGNX","EPHEDRACEAE","ERICACEX","ERICALES","EUPHORB","FABACEAE","FAGACEAE","JUGLANDACEAE","LILIACEAE","MALVACEAE","MORACEAX","MYRICACX","OLEACEAE","ONAGRACEAE","PINACEAE","PLANTAGINX","PLATANACEAE","POACEAE","POLEMONI","POLYGONAX","RANUNCUL","RHAMNACEAE","ROSACEAX","RUBIACEAE","SALICACEAE","SAPINDACEAE","SARCOBATACEAE","SCROPHUL","SXFRAGAX","TAXACEAE","ULMACEAE","URTICACX","VISICACEAE"
"1",0,0.5830903798,5.9766764641,0.1449275315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1457725912,0,0,0,0,0,93.1486895083,0,0,0,0,0,0,0,0,0,0,0,0,0.1457725912,0,0,0,0,0
"2",0,0,2,0,0,0,0,0,0,8,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,943,0,0,35,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"3",1,25,4,0,6,0,0,0,1,0.5,0,0.5,0,0,0,0,0,0,2,0,0,0.5,0,0,0,0,0,33.5,0,0,21,0.5,1,0.5,0,4.5,0,0,0,0,0,2,0,0,0,0
"4",0,2.5,1,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,94,0,0,2,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0
"5",0.5,50,1.5,0,0,0,0,0,0,1,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,38.5,0,0,6,0.5,0,0,0,0.5,0,0,0,0,0,1,0,0,0,0
"6",0,1,2,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,45,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,10,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
"8",0,61,0,0,0,0,0,0,6,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,9,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0
"9",0,59,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,18,0,0,15,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"10",0,59,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
